sepal_length,sepal_width,petal_length
0.0277777777777779,0.3788529144733692,0.05172413793103445
0.16666666666666674,0.21047384137409386,0.586206896551724
0.6944444444444444,0.33675814619855027,0.6379310344827585
0.16666666666666674,0.4630424510230067,0.06896551724137928
0.33333333333333326,0.21047384137409386,0.49999999999999994
0.5555555555555556,0.21047384137409386,0.6724137931034482
0.36111111111111094,0.29466337792373154,0.5344827586206897
0.5555555555555556,0.33675814619855027,0.6896551724137929
0.9444444444444442,0.42094768274818795,0.8620689655172411
0.9444444444444442,0.7577058289467382,0.9655172413793103
0.9166666666666665,0.42094768274818795,0.9482758620689653
0.4722222222222223,0.3788529144733692,0.586206896551724
0.19444444444444442,0.0,0.41379310344827586
0.4166666666666665,0.29466337792373154,0.5172413793103448
0.4166666666666665,0.2525686096489128,0.49999999999999994
0.11111111111111116,0.5051372192978256,0.08620689655172414
0.2222222222222221,0.7577058289467382,0.06896551724137928
0.6666666666666667,0.21047384137409386,0.8103448275862069
0.5833333333333335,0.4630424510230067,0.7586206896551724
0.3055555555555556,0.5893267558474631,0.06896551724137928
0.5555555555555556,0.21047384137409386,0.6551724137931034
0.2222222222222221,0.7577058289467382,0.08620689655172414
1.0,0.7577058289467382,0.9137931034482758
0.19444444444444442,0.42094768274818795,0.08620689655172414
0.33333333333333326,0.16837907309927513,0.44827586206896547
0.5555555555555556,0.3788529144733692,0.7758620689655171
0.5833333333333335,0.29466337792373154,0.7241379310344827
0.19444444444444442,0.5893267558474631,0.08620689655172414
0.36111111111111094,0.33675814619855027,0.6551724137931034
0.19444444444444442,0.631421524122282,0.03448275862068964
0.2222222222222221,0.7156110606719195,0.06896551724137928
0.4999999999999998,0.33675814619855027,0.49999999999999994
0.4999999999999998,0.42094768274818795,0.6034482758620687
0.38888888888888884,1.0,0.06896551724137928
0.7222222222222223,0.4630424510230067,0.7413793103448276
0.5277777777777779,0.5893267558474631,0.7413793103448276
0.38888888888888884,0.2525686096489128,0.41379310344827586
0.25,0.29466337792373154,0.4827586206896551
0.6666666666666667,0.5472319875726444,0.7931034482758621
0.44444444444444464,0.5051372192978256,0.6379310344827585
0.08333333333333326,0.5893267558474631,0.05172413793103445
0.75,0.5051372192978256,0.6206896551724137
0.3055555555555556,0.7998005972215572,0.03448275862068964
0.8611111111111112,0.33675814619855027,0.8620689655172411
0.16666666666666674,0.42094768274818795,0.05172413793103445
0.2222222222222221,0.631421524122282,0.05172413793103445
0.4166666666666665,0.29466337792373154,0.6896551724137929
0.19444444444444442,0.5051372192978256,0.017241379310344807
0.05555555555555558,0.1262843048244563,0.03448275862068964
0.13888888888888884,0.42094768274818795,0.05172413793103445
0.13888888888888884,0.42094768274818795,0.05172413793103445
0.36111111111111094,0.3788529144733692,0.4310344827586206
0.5555555555555556,0.5472319875726444,0.8448275862068964
0.38888888888888884,0.33675814619855027,0.586206896551724
0.2222222222222221,0.631421524122282,0.05172413793103445
0.44444444444444464,0.42094768274818795,0.6896551724137929
0.38888888888888884,0.33675814619855027,0.5172413793103448
0.5555555555555556,0.5893267558474631,0.7758620689655171
0.08333333333333326,0.5051372192978256,0.05172413793103445
0.4166666666666665,0.29466337792373154,0.6896551724137929
